Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
19,66,7,59,1,3,62
24,88,6,86,0,3,67
22,81,8,50,4,5,68
16,66,5,57,3,3,64
19,60,7,72,3,3,65
17,92,6,57,2,2,65
16,67,8,98,0,3,63
25,84,6,84,2,3,70
22,73,9,72,3,3,66
16,83,7,56,4,3,68
25,73,8,69,3,3,66
22,63,8,83,3,1,63
25,69,9,98,1,3,66
24,68,6,74,1,3,65
15,77,8,85,1,2,66
17,86,4,60,2,3,67
24,71,7,81,0,3,66
24,60,6,62,4,3,63
20,81,5,60,3,4,66
21,84,6,75,1,3,67
28,99,6,61,1,3,71
16,84,7,86,1,2,67
23,79,6,97,1,4,69
19,83,7,70,2,4,67
19,97,6,66,2,2,72
27,93,6,59,2,4,70
25,73,7,70,0,4,67
25,69,7,78,0,3,64
28,71,8,69,1,1,67
20,80,8,81,3,4,69
24,90,7,83,0,3,68
18,80,8,55,2,3,63
22,63,7,85,4,3,68
19,89,7,95,0,3,70
21,92,8,51,0,2,66
24,72,6,78,0,6,68
15,87,4,80,0,3,67
33,77,5,85,0,5,69
14,96,9,69,0,3,66
13,94,7,91,3,3,68
27,81,7,77,2,2,69
25,88,7,70,1,3,70
24,95,8,86,1,3,74
24,80,7,96,0,0,70
20,73,7,91,1,2,66
15,90,8,97,1,3,69
20,69,6,63,0,3,64
16,76,8,56,1,1,62
26,95,7,77,0,3,70
19,89,7,52,2,4,68
15,76,6,84,0,3,65
18,69,7,62,3,3,65
22,74,6,73,3,4,71
17,71,9,83,2,5,66
15,67,4,74,0,3,61
21,90,8,62,2,5,67
21,70,4,94,0,2,65
17,78,8,88,0,3,65
17,75,6,80,1,5,65
21,99,8,85,4,4,73
11,76,7,71,1,2,62
12,63,5,69,0,2,60
16,64,9,58,1,3,61
19,84,8,90,2,3,67
22,84,8,69,3,4,70
29,77,6,85,1,1,69
25,77,8,65,0,5,66
19,62,5,90,2,3,64
20,81,4,55,1,2,68
14,80,5,81,1,4,67
20,66,6,90,0,1,64
18,64,6,83,2,2,65
22,65,6,85,2,3,66
15,64,6,76,2,4,63
23,84,6,78,2,2,68
29,68,4,53,1,4,66
19,70,7,63,3,5,63
22,67,7,86,1,3,63
24,98,6,97,1,4,74
18,94,9,77,1,2,70
21,69,7,86,2,3,68
20,73,7,84,0,4,66
21,68,8,100,0,4,63
15,80,5,90,4,3,67
20,61,7,81,1,3,62
23,87,8,56,1,3,71
29,81,7,68,2,4,72
26,96,5,63,1,2,72
33,67,6,93,0,3,68
15,92,7,72,1,5,66
25,92,4,77,0,3,70
21,65,5,98,2,4,66
33,76,10,92,1,3,72
15,67,8,89,0,4,64
15,70,9,57,1,3,63
16,71,8,51,0,2,61
7,82,8,56,0,2,62
17,76,7,87,1,4,68
15,98,8,71,1,3,68
21,65,9,56,1,5,63
22,99,8,87,1,4,70
31,69,7,60,1,3,68
26,91,7,79,1,5,72
17,74,8,87,4,3,67
15,66,6,80,1,1,61
23,94,8,100,0,3,69
12,72,6,72,2,2,61
31,86,6,66,3,3,75
27,83,5,60,0,2,68
17,79,6,75,1,4,65
10,80,6,93,4,3,67
28,89,10,97,3,6,75
19,64,6,99,1,3,64
27,87,8,77,1,4,70
10,96,6,80,0,4,67
16,62,7,79,2,3,63
20,66,7,73,1,4,65
20,89,4,58,1,3,67
17,77,5,53,2,3,86
24,76,6,72,3,3,67
14,65,5,59,1,4,63
19,80,7,94,0,3,66
21,65,7,88,2,1,65
23,79,5,81,1,3,67
24,91,7,52,0,4,69
13,70,6,81,2,2,66
11,79,7,81,1,2,64
28,100,6,72,1,2,73
22,87,8,83,1,1,66
16,94,9,93,1,4,68
29,77,8,88,0,4,70
21,91,9,74,2,2,69
27,62,5,63,4,4,67
20,65,6,74,0,3,62
32,68,8,97,1,2,68
31,76,9,91,1,4,72
19,94,8,51,3,5,69
26,74,5,89,3,2,66
24,86,6,59,1,3,70
28,88,8,79,0,3,71
14,83,7,90,0,3,65
24,74,6,78,3,3,70
26,83,7,70,2,4,65
9,74,7,66,1,3,62
13,63,5,65,2,2,62
8,100,8,92,1,3,70
18,65,6,91,5,3,66
24,63,7,91,4,4,67
29,95,9,64,1,3,72
20,72,7,90,0,3,66
30,86,8,52,2,2,68
12,73,5,60,1,4,62
10,76,8,76,2,3,64
20,70,8,70,0,5,65
22,74,6,56,4,3,66
20,76,7,52,2,3,64
8,89,7,81,4,3,67
19,80,7,66,4,4,69
12,98,8,51,0,5,68
24,62,6,72,2,4,64
22,80,7,65,2,2,68
14,83,9,79,1,3,64
17,97,9,96,0,1,71
14,62,8,65,3,2,61
20,83,7,100,4,3,68
26,94,10,54,2,5,73
14,70,9,54,3,1,64
23,95,7,86,3,4,72
17,61,7,87,5,3,65
15,89,6,71,1,4,68
19,97,8,64,2,3,71
14,86,8,90,3,3,65
17,78,8,98,2,2,66
13,62,7,99,4,1,63
32,97,5,82,1,3,74
20,79,7,87,2,4,66
16,61,8,91,2,3,63
21,88,6,90,2,4,72
19,79,7,100,1,2,69
19,65,9,91,1,4,67
24,69,5,83,3,3,66
25,63,7,69,0,5,64
17,83,9,80,4,2,67
17,85,7,94,4,3,69
18,80,6,65,2,2,65
6,93,7,52,0,2,64
11,94,8,66,1,4,65
28,85,7,98,2,1,72
30,61,8,90,2,2,66
19,88,7,59,2,3,66
23,77,7,51,1,3,67
22,83,8,83,1,3,69
38,86,7,79,3,3,73
27,74,6,54,3,3,69
19,97,8,98,1,4,68
14,65,7,81,1,3,61
10,87,6,83,0,4,63
21,60,8,93,0,2,63
15,97,9,67,1,2,68
11,65,7,78,2,3,63
16,64,7,79,3,4,66
14,73,5,98,2,4,65
30,75,7,57,0,1,68
25,69,7,88,0,4,66
20,83,7,79,2,5,66
29,78,6,92,2,4,70
20,61,8,92,0,2,61
15,73,7,51,2,3,61
29,92,10,63,1,4,71
23,88,7,59,1,2,67
14,89,4,73,2,3,70
19,88,5,95,2,4,69
15,72,8,50,2,4,65
12,64,6,74,0,2,61
26,71,6,94,3,4,68
31,93,5,96,2,2,74
12,99,6,83,1,3,67
23,80,7,91,5,1,70
16,60,8,66,1,2,59
17,66,5,64,0,2,64
16,73,8,52,2,4,66
15,83,5,75,1,3,63
20,63,8,73,0,3,61
15,98,8,69,2,4,68
22,75,6,56,3,3,65
20,97,5,62,1,4,69
19,91,8,60,2,4,68
15,90,6,97,2,2,69
17,84,7,98,1,2,67
25,85,8,50,1,1,70
23,86,8,59,1,3,68
14,85,6,94,0,4,67
21,82,7,52,4,3,67
25,99,6,97,0,3,75
10,89,8,69,3,4,63
23,91,9,77,1,5,70
16,95,6,88,2,4,70
23,69,7,62,1,4,64
15,63,8,55,0,3,59
9,79,7,90,1,3,63
10,81,8,99,2,4,67
20,93,7,83,0,2,68
22,78,5,91,0,3,68
15,83,7,97,2,2,97
24,81,9,61,1,4,66
10,62,7,68,3,3,61
20,85,9,61,2,3,70
13,93,4,53,1,1,65
16,66,8,87,3,2,64
20,84,6,57,2,4,69
15,84,6,55,1,2,64
18,67,9,68,2,2,61
26,65,7,53,3,2,64
17,99,6,59,0,3,68
25,76,8,53,1,3,67
13,69,4,94,3,3,62
23,67,9,89,2,2,66
29,87,10,93,1,4,72
5,84,8,93,4,3,68
15,86,8,97,4,3,71
23,64,7,59,3,2,65
19,96,5,95,2,3,68
22,76,9,76,2,5,65
16,73,8,58,1,4,64
21,78,8,83,2,4,65
19,76,8,66,0,4,65
27,95,7,52,3,3,73
22,97,6,54,1,3,72
22,72,10,71,1,1,64
18,95,7,91,0,4,69
17,91,6,66,1,3,69
17,97,9,88,0,2,70
22,70,7,53,1,3,83
17,83,7,70,3,5,68
22,71,9,56,1,3,84
32,93,8,93,1,3,75
25,60,8,98,1,5,67
18,83,5,66,0,4,69
27,74,8,99,3,4,71
18,73,5,88,1,5,66
8,86,6,50,1,2,65
14,94,7,74,1,5,70
9,84,7,92,1,4,66
18,94,8,77,3,4,74
20,71,8,77,0,4,66
30,81,8,72,0,2,68
22,78,5,70,2,1,68
19,60,10,51,0,3,62
25,82,7,81,2,2,71
7,86,9,88,2,2,63
21,84,4,90,2,3,69
25,89,7,81,3,0,71
11,83,5,67,1,2,66
27,63,6,51,0,2,64
22,65,7,95,3,2,65
18,84,6,71,4,2,69
24,71,9,80,2,3,66
34,63,10,60,1,4,67
21,77,6,57,4,5,65
21,82,6,54,3,2,65
17,73,5,90,1,4,67
15,89,9,82,1,3,66
25,86,7,81,1,1,69
15,73,7,96,1,2,64
20,90,7,58,1,4,70
17,86,7,59,3,3,68
23,85,6,59,1,1,68
22,82,7,71,1,3,69
26,60,7,94,3,2,68
17,88,8,94,5,2,70
18,75,5,80,2,3,67
14,98,7,83,3,3,72
17,93,6,95,1,4,69
22,84,7,81,1,3,69
25,70,8,61,3,4,64
14,68,6,85,2,3,63
25,74,9,88,3,3,70
28,79,4,82,0,3,70
22,72,9,64,1,2,66
31,81,9,70,1,4,70
15,67,6,74,0,2,66
13,99,6,57,1,5,68
9,64,5,73,1,4,61
29,97,8,58,1,4,72
24,97,7,75,1,2,69
20,81,6,53,0,4,63
22,89,5,97,2,5,72
13,77,10,62,1,4,65
35,85,6,73,1,5,74
21,74,7,52,1,4,62
21,72,7,60,0,4,65
24,83,6,85,1,4,68
23,80,6,56,3,2,66
21,83,6,81,3,4,71
15,71,8,50,1,2,62
23,75,6,73,1,2,65
31,63,9,86,0,3,68
28,62,6,96,4,3,70
30,70,8,75,1,2,67
17,63,4,92,2,4,63
14,64,6,90,0,2,63
19,93,6,65,0,3,69
20,62,5,94,3,3,66
27,86,7,82,2,3,70
10,71,7,55,2,3,63
29,95,4,97,0,4,72
19,79,10,59,1,3,65
17,72,7,74,2,4,67
14,81,7,73,1,3,63
10,75,9,81,3,5,65
25,83,8,83,2,1,67
20,65,7,62,0,0,80
12,100,4,68,2,3,68
12,77,8,57,2,2,63
18,74,6,56,1,3,64
30,88,9,91,3,3,73
18,75,6,88,2,1,66
11,93,6,72,2,3,66
19,78,5,55,0,4,66
18,89,5,72,4,2,69
4,64,7,65,1,4,59
20,94,7,89,0,1,68
19,89,6,55,1,3,67
24,68,10,73,1,4,64
31,66,8,80,0,4,65
27,73,7,99,1,4,68
18,99,4,54,0,3,70
13,70,8,56,2,0,62
35,78,10,99,1,2,72
20,61,7,70,1,4,62
20,76,6,87,1,4,68
20,83,7,89,3,4,69
21,98,5,66,3,5,73
19,81,8,61,3,5,69
17,93,9,64,1,3,67
17,82,6,88,2,3,65
20,62,6,92,2,3,63
17,73,7,85,2,2,66
16,83,6,72,1,2,66
21,98,5,63,0,2,70
18,94,6,71,2,3,69
29,69,6,96,1,4,70
4,69,9,93,2,3,58
27,68,9,66,3,3,67
27,97,9,66,1,3,73
8,94,8,89,0,2,66
18,91,7,71,0,3,70
18,76,6,79,1,2,67
12,80,9,71,1,3,60
15,79,8,62,1,3,65
13,70,5,59,0,2,63
31,80,6,57,1,3,72
26,61,5,51,0,5,62
28,65,4,64,6,3,70
24,95,8,59,2,1,70
13,90,5,63,0,4,64
17,77,6,54,3,4,64
23,81,7,67,0,5,67
13,75,7,76,1,1,64
24,90,6,97,1,4,72
19,91,9,67,0,3,66
18,91,5,52,2,4,66
24,89,5,68,0,2,71
23,68,8,91,5,5,66
18,74,6,67,2,2,64
27,79,6,65,0,2,66
14,73,5,96,1,3,62
24,90,8,65,4,4,70
24,73,7,99,3,3,69
18,66,7,92,2,4,65
22,76,6,84,2,3,70
12,99,6,80,0,3,70
26,69,7,61,1,2,67
19,84,8,87,2,3,69
17,77,9,67,0,5,62
26,63,9,74,1,4,67
16,80,8,55,0,6,65
12,88,8,65,0,4,65
11,81,5,76,1,3,65
24,95,6,73,3,2,69
12,72,8,67,4,4,63
31,63,7,74,3,2,66
8,97,8,87,0,2,67
30,75,8,73,1,3,69
21,83,8,75,1,2,67
19,92,5,85,1,4,70
17,73,7,92,2,2,67
22,89,6,76,2,4,70
20,65,6,97,0,3,65
27,72,4,68,0,3,63
21,66,7,63,0,3,64
21,92,4,85,1,3,69
18,69,8,59,1,4,60
20,89,9,95,3,3,69
22,98,8,69,4,2,72
10,81,7,85,1,2,63
12,82,9,79,0,2,63
24,78,7,53,0,4,66
21,73,6,85,6,5,70
19,79,7,90,1,4,68
20,84,10,99,2,3,69
22,99,5,71,0,4,72
17,98,5,75,1,3,67
15,94,8,94,1,4,68
21,96,7,63,1,2,70
14,79,6,59,5,3,68
22,86,5,57,2,3,69
10,96,4,99,1,5,68
26,76,5,64,0,5,66
23,98,9,88,1,4,72
22,77,7,72,2,3,67
26,84,4,62,3,2,70
30,88,9,96,1,3,73
26,98,9,73,1,6,73
9,70,9,78,1,2,60
12,90,6,61,2,3,67
16,81,7,66,3,4,69
20,71,7,87,1,5,65
23,91,9,67,2,4,70
16,82,6,75,3,3,68
21,86,6,56,1,2,66
15,73,8,93,1,4,65
16,79,9,87,1,2,64
12,85,7,88,1,0,67
14,76,8,59,3,5,65
12,68,7,75,1,4,64
14,98,7,51,0,1,67
26,80,6,66,2,4,70
14,89,5,67,3,3,63
36,76,6,96,1,2,71
23,74,6,100,2,3,68
21,76,7,81,0,2,67
15,76,9,76,1,2,67
24,82,7,72,0,2,68
17,82,6,51,1,3,66
21,80,8,90,0,4,68
35,65,7,84,0,2,70
19,80,8,82,5,3,67
27,67,6,90,2,3,67
16,65,9,96,2,2,62
20,97,9,69,0,3,67
31,84,7,71,4,4,70
16,86,8,99,4,4,72
31,76,9,83,2,3,70
24,96,6,93,2,2,94
17,86,7,61,2,3,66
24,91,7,66,2,3,69
26,75,5,70,0,2,68
24,98,8,66,2,1,71
11,93,9,94,4,4,69
16,94,7,76,2,3,67
19,67,8,98,2,2,64
20,71,9,66,1,5,63
24,71,6,52,2,3,66
21,71,8,57,2,1,66
12,94,6,61,3,4,69
22,61,6,82,4,4,64
24,63,8,59,1,3,62
23,71,7,69,3,5,66
26,68,8,90,4,3,70
25,69,7,56,2,4,67
23,92,8,54,0,1,68
20,83,9,77,0,3,67
10,60,9,85,0,4,62
23,77,8,96,1,1,67
21,76,8,83,0,5,68
22,65,7,97,2,4,64
12,87,7,62,2,4,64
14,88,8,67,2,3,66
26,89,7,92,2,2,72
20,89,8,91,2,3,72
24,60,9,83,2,3,66
20,98,7,75,4,1,72
20,93,4,51,1,3,69
26,96,10,64,2,3,72
17,61,6,58,1,4,60
21,97,7,53,0,2,69
17,92,8,89,0,3,68
17,93,9,57,3,2,69
18,64,10,68,1,5,62
21,90,6,99,2,2,71
17,98,9,70,1,2,70
28,87,7,57,2,4,68
15,83,10,84,1,2,68
19,98,9,90,1,2,70
17,78,7,64,0,3,65
29,84,6,90,0,3,73
21,79,4,64,0,4,66
26,97,8,85,2,3,71
11,63,9,56,2,3,62
22,80,8,71,2,3,68
25,87,4,76,1,4,70
20,92,5,86,0,2,68
26,83,8,83,2,2,71
17,96,10,93,2,4,70
28,98,7,59,1,3,72
34,63,9,83,2,2,69
18,76,5,56,1,2,63
17,61,7,74,0,2,62
29,73,7,76,2,3,68
29,81,9,51,2,5,70
17,96,6,54,1,4,69
17,94,10,92,2,2,68
18,65,7,64,2,1,65
12,64,5,67,3,2,59
14,84,5,82,3,3,66
14,81,6,61,0,4,64
15,71,8,60,5,4,63
20,96,6,71,5,3,72
21,97,6,53,0,3,67
29,76,8,96,2,2,94
14,96,4,97,2,3,70
26,75,6,72,0,3,66
19,89,5,60,4,2,69
20,79,6,74,2,2,64
24,65,7,55,1,3,63
13,97,7,70,1,4,71
22,78,7,54,1,3,65
21,89,9,85,1,5,68
23,75,7,64,1,3,64
22,61,10,76,1,2,64
35,64,8,51,2,5,66
16,80,6,76,1,4,68
17,88,10,50,3,5,67
16,73,7,96,1,3,66
17,88,10,75,2,3,68
16,88,7,55,3,3,66
27,88,7,67,3,4,71
29,80,8,52,4,4,71
17,97,7,77,0,4,68
15,80,9,56,3,3,64
23,78,10,74,3,4,67
17,68,4,65,0,2,64
24,72,8,88,3,2,68
21,62,6,74,0,3,62
11,85,4,92,0,1,64
29,70,8,97,3,3,70
31,72,8,98,0,4,68
16,91,8,63,2,3,69
18,73,8,88,3,4,65
22,70,8,72,2,3,67
22,67,6,71,2,2,65
24,91,7,93,0,2,71
32,65,8,57,2,3,65
19,78,9,74,2,5,66
15,80,7,80,0,5,65
12,87,7,53,2,1,65
16,85,7,93,1,3,68
20,92,5,66,2,2,68
31,62,8,83,0,2,67
17,72,5,96,3,3,65
21,71,8,86,2,2,66
20,66,7,94,0,4,63
27,72,5,53,1,5,70
35,72,5,75,1,5,72
17,81,6,78,2,2,67
17,87,6,84,0,3,67
26,75,9,56,1,5,66
24,89,7,83,1,3,66
31,73,8,57,2,4,69
24,72,9,53,0,4,62
18,82,9,73,2,4,66
24,61,7,80,0,3,64
27,63,6,98,1,2,67
25,77,8,85,2,1,71
23,98,6,80,1,2,73
26,89,10,61,0,3,68
27,64,8,58,2,1,66
28,94,7,80,3,4,75
24,89,8,61,1,3,72
19,84,7,85,1,3,68
21,93,6,56,1,3,68
27,76,8,67,1,4,69
15,69,7,89,1,2,63
22,80,10,92,0,2,70
18,82,6,67,1,3,66
20,82,8,60,3,4,66
28,83,6,98,1,2,72
21,98,6,88,1,3,71
20,96,4,90,3,2,72
12,95,8,61,4,1,69
24,92,6,71,2,2,71
24,98,9,53,3,2,69
33,64,8,55,1,3,68
18,71,7,61,2,4,61
21,80,5,65,2,1,68
21,94,8,100,0,3,72
29,80,6,71,0,3,70
19,90,5,85,0,5,73
22,66,8,95,3,3,67
24,70,5,62,2,4,65
21,89,4,57,1,2,68
17,67,9,62,3,3,65
21,74,6,94,1,1,97
26,71,4,83,1,3,66
14,74,6,73,2,3,67
21,88,6,91,2,1,70
16,75,9,62,3,4,66
27,82,5,62,1,4,69
11,64,5,78,2,4,62
17,92,8,90,1,3,68
22,75,6,63,1,2,67
29,86,7,61,0,4,68
20,89,6,74,1,2,69
17,68,10,57,1,1,62
31,95,5,87,2,3,75
11,85,7,79,2,3,65
7,77,9,76,2,3,63
23,67,6,94,1,2,66
17,98,6,87,3,5,71
14,90,8,57,0,3,66
24,68,9,71,2,4,66
21,74,6,66,1,4,66
17,92,9,90,1,3,71
12,88,7,86,3,3,68
25,91,8,74,1,3,71
24,78,9,91,0,3,68
19,89,8,71,2,4,68
31,75,7,90,2,2,68
14,68,6,52,2,2,62
11,85,10,57,0,5,65
16,99,6,88,2,3,71
20,72,7,56,0,6,63
21,78,8,84,1,4,68
19,87,8,86,1,4,69
22,82,10,83,1,2,69
12,94,7,91,3,3,71
29,90,7,76,0,1,71
20,62,9,95,0,3,62
27,100,7,78,2,2,70
22,90,8,75,1,3,70
23,95,7,75,2,2,73
23,86,8,96,3,2,71
23,94,8,62,2,0,69
24,64,6,85,0,3,66
28,74,4,62,1,3,65
21,95,4,55,2,1,71
24,68,4,98,2,2,68
19,63,7,56,2,3,64
29,92,4,84,2,3,71
16,93,7,71,0,2,67
31,67,7,92,2,3,66
20,94,8,89,1,4,71
11,87,8,57,0,2,62
21,81,8,73,3,2,67
16,93,8,51,3,2,67
25,77,7,71,0,3,66
16,68,7,85,1,3,64
17,71,6,62,2,3,62
9,80,7,91,1,3,65
17,81,5,53,0,1,63
5,92,9,52,2,4,64
10,92,6,51,1,3,65
25,83,7,64,0,2,68
25,91,7,73,2,3,72
23,68,9,55,0,3,64
14,62,4,100,1,3,62
20,95,7,100,3,2,69
20,63,8,76,3,4,64
13,70,10,78,1,2,61
29,88,7,96,2,2,72
25,76,6,88,1,3,66
19,95,10,58,2,3,69
20,72,8,90,2,2,65
21,60,9,62,2,3,64
8,72,5,72,3,4,62
